Date,yield_pct
2/28/1986,10.62
3/3/1986,10.56
3/4/1986,10.53
3/5/1986,10.6
3/6/1986,10.62
3/7/1986,10.64
3/10/1986,10.55
3/11/1986,10.52
3/12/1986,10.47
3/13/1986,10.5
3/14/1986,10.44
3/17/1986,10.45
3/18/1986,10.51
3/19/1986,10.53
3/20/1986,10.51
3/21/1986,10.49
3/24/1986,10.43
3/25/1986,10.44
3/26/1986,10.43
3/27/1986,10.37
3/28/1986,.
3/31/1986,10.31
4/1/1986,10.28
4/2/1986,10.25
4/3/1986,10.26
4/4/1986,10.29
4/7/1986,10.3
4/8/1986,10.24
4/9/1986,10.21
4/10/1986,10.2
4/11/1986,10.25
4/14/1986,10.17
4/15/1986,10.2
4/16/1986,10.14
4/17/1986,10.18
4/18/1986,9.97
4/21/1986,10.01
4/22/1986,10.06
4/23/1986,10.12
4/24/1986,10.21
4/25/1986,10.26
4/28/1986,10.23
4/29/1986,10.2
4/30/1986,10.16
5/1/1986,10.18
5/2/1986,10.24
5/5/1986,10.16
5/6/1986,10.16
5/7/1986,10.16
5/8/1986,10.15
5/9/1986,10.19
5/12/1986,10.25
5/13/1986,10.23
5/14/1986,10.26
5/15/1986,10.35
5/16/1986,10.38
5/19/1986,10.39
5/20/1986,10.34
5/21/1986,10.37
5/22/1986,10.36
5/23/1986,10.37
5/26/1986,.
5/27/1986,10.32
5/28/1986,10.34
5/29/1986,10.39
5/30/1986,10.41
6/2/1986,10.51
6/3/1986,10.5
6/4/1986,10.45
6/5/1986,10.46
6/6/1986,10.41
6/9/1986,10.48
6/10/1986,10.47
6/11/1986,10.44
6/12/1986,10.43
6/13/1986,10.35
6/16/1986,10.29
6/17/1986,10.29
6/18/1986,10.28
6/19/1986,10.33
6/20/1986,10.28
6/23/1986,10.23
6/24/1986,10.2
6/25/1986,10.21
6/26/1986,10.18
6/27/1986,10.18
6/30/1986,10.16
7/1/1986,10.15
7/2/1986,10.16
7/3/1986,10.13
7/4/1986,.
7/7/1986,10.15
7/8/1986,10.16
7/9/1986,10.14
7/10/1986,10.11
7/11/1986,10.14
7/14/1986,10.09
7/15/1986,10.06
7/16/1986,10.08
7/17/1986,10.12
7/18/1986,10.13
7/21/1986,10.11
7/22/1986,10.14
7/23/1986,10.12
7/24/1986,10.23
7/25/1986,10.26
7/28/1986,10.32
7/29/1986,10.29
